ROW_NUM,DEC_LAT,DEC_LONG,SPECIES,YEAR_COLLECTED,MONTH_COLLECTED,DAY_COLLECTED,EAR_LENGTH_MM,HIND_FOOT_W_CLAW_MM,TAIL_LENGTH_MM,TOTAL_LENGTH_MM,MASS_G
963,40.13333,-109.64333,Erethizon dorsatum,1966,3,19,12,37,56,245,328.9
456,35.21061111,-106.6336028,Erethizon dorsatum,2009,4,21,44,99,148,669,5950
1060,47.66842757,-122.3508773,Erethizon dorsatum,2016,6,22,33,10,220,780,2902
1140,46.85846,-122.80054,Erethizon dorsatum,1973,5,29,30,10,250,765,8860
1201,35.1484,-106.68364,Erethizon dorsatum,2022,3,1,15,95,210,855,8800
634,67.045,-158.8238889,Erethizon dorsatum,1973,9,17,35,96,115,713,8200
1215,35.138420000000004,-106.69557,Erethizon dorsatum,2022,12,9,27,11,250,790,8005
718,31.266555,-100.623154,Erethizon dorsatum,2022,1,18,25,11,220,820,8000
1084,64.81166667,-143.7671667,Erethizon dorsatum,2001,7,17,16,84,165,255,7300
383,39.496018,-106.058071,Erethizon dorsatum,2019,1,10,26,21,277,853,7006
822,47.07994,-121.58252,Erethizon dorsatum,1976,8,21,30,10,229,683,7000
123,31.40937231,-100.5511858,Erethizon dorsatum,2015,4,17,21,10,180,720,7000
234,30.965364,100.577019,Erethizon dorsatum,2015,11,30,29,90,183,722,6810
183,68.868667,-147.672531,Erethizon dorsatum,2010,4,28,29,94,162,680,6600
437,31.18833,100.50199,Erethizon dorsatum,2008,10,19,37,10,230,730,6400
212,32.217888,-104.6282987,Erethizon dorsatum,2003,10,5,27,10,165,335,6000
838,32.1955107,-100.5463308,Erethizon dorsatum,2018,1,16,25,90,240,740,5900
581,30.546252,-104.130578,Erethizon dorsatum,2018,8,24,28,85,145,670,5300
670,31.74029,-100.4333,Erethizon dorsatum,2015,11,9,29,86,193,670,4875
293,35.13987,-106.68521,Erethizon dorsatum,2015,2,11,28,91,185,759,4750
460,31.38451,-100.44406,Erethizon dorsatum,2019,11,15,25,81,148,660,4700
411,31.35723,-100.10226,Erethizon dorsatum,2017,10,25,23,75,163,560,4500
289,35.078382,-106.663485,Erethizon dorsatum,2019,1,4,24,99,175,698,4300
1110,65.10635,-147.46736,Erethizon dorsatum,2010,5,9,28,96,113,686,3600
199,35.24178958,-106.5934788,Erethizon dorsatum,2022,9,6,21,720,165,510,3300
562,29.741172,-100.9487104,Erethizon dorsatum,2013,8,12,15,70,140,540,3000
837,65.046957,-147.434687,Erethizon dorsatum,2009,10,3,32,10,190,745,1850
1002,47.6551,-122.0621,Erethizon dorsatum,1991,9,20,35,10,283,884,11020
382,39.516809,-106.038759,Erethizon dorsatum,2014,4,17,35,10,280,760,10280
1059,47.66842757,-122.3508773,Erethizon dorsatum,2011,1,10,39,10,186,853,10160
351,46.492261,-87.075952,Erethizon dorsatum,2021,9,15,33,86,243,786,9700
375,35.096477,-106.687336,Erethizon dorsatum,2013,7,29,30,10,245,930,9650
291,35.13138333,-106.7018667,Erethizon dorsatum,2007,3,26,19,11,211,789,9390
834,35.14391667,-106.6851667,Erethizon dorsatum,2013,1,15,35,11,243,993,7150
298,35.14825,-106.6835167,Erethizon dorsatum,2009,6,16,30,11,160,670,6300
595,35.14076667,-106.683,Erethizon dorsatum,2010,3,16,25,10,210,760,6300
1111,65.2745,-146.6914,Erethizon dorsatum,2016,6,11,25,85,140,635,5864
282,35.1175461,-106.6101761,Erethizon dorsatum,2010,10,7,29,90,180,680,5600
155,31.28886,-100.597055,Erethizon dorsatum,2021,2,24,42,10,205,655,5545
807,35.14772,-106.68257,Erethizon dorsatum,2024,2,16,25,71,190,750,5200
947,35.13895,-106.68755,Erethizon dorsatum,2025,2,12,30,10,220,770,4900
1039,35.1426,-106.68626,Erethizon dorsatum,2021,12,2,17,95,234,907,4.4
