ROW_NUM,NUMBER_RECORDS,LINK,SPEC_LOCALITY,DEC_LAT,DEC_LONG,COORDINATEUNCERTAINTYINMETERS,GENUS,SPECIES,COLLECTORS,YEAR_COLLECTED,MONTH_COLLECTED,DAY_COLLECTED,AGE,EAR_FROM_NOTCH,EAR_LENGTH_MM,HIND_FOOT_WITH_CLAW,HIND_FOOT_W_CLAW_MM,SEX,TAIL_LENGTH,TAIL_LENGTH_MM,TOTAL_LENGTH,TOTAL_LENGTH_MM,WEIGHT,MASS_G
1125,1,https://arctos.database.museum/search.cfm?collection_object_id=22508894,Susitna Road just beyond big rock,,,,Erethizon,Erethizon dorsatum,Robert L. Rausch,1957,3,24,,,,,,unknown,,,,,9 lb,4082
688,1,https://arctos.database.museum/search.cfm?collection_object_id=22501339,"International Airport, Anchorage, Anchorage Quad",,,,Erethizon,Erethizon dorsatum,Robert L. Rausch,1956,10,14,,,,,,unknown,,,,,18 lb,8165
881,1,https://arctos.database.museum/search.cfm?collection_object_id=29046760,No specific locality recorded.,31.27831,-100.27864,,Erethizon,Erethizon dorsatum,John W. Dorsett,2010,3,26,,,,,,unknown,,,,,0.5 kg,500
963,1,https://arctos.database.museum/search.cfm?collection_object_id=26361482,Ouray National Wildlife Refuge,40.13333,-109.64333,2414,Erethizon,Erethizon dorsatum,Everett C. Peck,1966,3,19,immature,12 mm,12,37 mm,37,unknown,56 mm,56 ,245 mm,245,328.9 g,328.9
769,1,https://arctos.database.museum/search.cfm?collection_object_id=27064592,"Malheur NWR; Central Patrol Rd, near Benson Pond",42.9572,-118.8679,,Erethizon,Erethizon dorsatum,,1996,9,10,,,,78 mm,78,unknown,,,,,3250 g,3250 
827,1,https://arctos.database.museum/search.cfm?collection_object_id=29046274,N 31.662441 W 100.631332,31.662441,100.631332,,Erethizon,Erethizon dorsatum,John W. Dorsett,2010,3,18,,,,,,unknown,,,,,170 g,170
444,1,https://arctos.database.museum/search.cfm?collection_object_id=27101626,College Place,46.0494,-118.3872,3232,Erethizon,Erethizon dorsatum,,1946,4,3,,32 mm,32,111 mm,11,unknown,220 mm,220,880 mm,880,,
445,1,https://arctos.database.museum/search.cfm?collection_object_id=27045708,College Place,46.0494,-118.3872,3232,Erethizon,Erethizon dorsatum,,1956,2,28,,,,80 mm,80,unknown,135 mm,135,735 mm,735,,
721,1,https://arctos.database.museum/search.cfm?collection_object_id=27105924,Kooskooskie,46.0103,-118.1192,1622,Erethizon,Erethizon dorsatum,,1962,11,15,,25 mm,25,100 mm,10,unknown,229 mm,229,738 mm,738,,
879,1,https://arctos.database.museum/search.cfm?collection_object_id=32960395,No specific locality recorded,38.000197,-101.319861,42619,Erethizon,Erethizon dorsatum,,1900,1,1,,29 mm,29,105 mm,10,unknown,185 mm,185,721 mm,721,,
1008,1,https://arctos.database.museum/search.cfm?collection_object_id=50590,"Richardson Highway, near Ann Creek and Rainbow Ridge, Mt. Hayes Quad",63.41666667,-145.5,1041,Erethizon,Erethizon dorsatum,Hans Staaland,1997,6,10,,14 mm,14,75 mm,75,unknown,110 mm,110,450 mm,450,,
8,1,https://arctos.database.museum/search.cfm?collection_object_id=26303027,"0.5 mi N Maple Grove forest camp, 18 mi NE Scipio",39.263995,-112.094018,1000,Erethizon,Erethizon dorsatum,Lawrence J. Wheadon,1959,5,15,,,,,,unknown,,,,,,
10,1,https://arctos.database.museum/search.cfm?collection_object_id=10175425,0.5 mi W McKinley Park Sta,63.7328,-148.9317,1833,Erethizon,Erethizon dorsatum,Seth B. Benson,1932,4,,,,,,,unknown,,,,,,
15,1,https://arctos.database.museum/search.cfm?collection_object_id=28674515,0.7 mi S Big Spring,32.240121,-101.47833,7000,Erethizon,Erethizon dorsatum,Lynn A. Simpson,1993,8,23,,,,,,unknown,,,,,,
16,1,https://arctos.database.museum/search.cfm?collection_object_id=1763417,"10.5 MI E CHAMA; T31N, R5E, SEC 17",36.9227973,-106.4428024,6824,Erethizon,Erethizon dorsatum,D. W. Martin,1956,7,4,,,,,,unknown,,,,,,
18,1,https://arctos.database.museum/search.cfm?collection_object_id=28670353,"10 mi N, 0.5 mi E Mertzon, FM 853, roadside",31.406816,-100.801301,1500,Erethizon,Erethizon dorsatum,Terry C. Maxwell,1995,6,18,,,,,,unknown,,,,,,
19,1,https://arctos.database.museum/search.cfm?collection_object_id=28670354,"10 mi N, 11.7 mi W Mertzon, west of Bradford Draw, Sheen Ranch",,,,Erethizon,Erethizon dorsatum,Rebecca Ann Maxwell,1995,5,21,,,,,,unknown,,,,,,
23,1,https://arctos.database.museum/search.cfm?collection_object_id=10172661,10 mi SW Alturas,41.4204792,-120.6846059,3607,Erethizon,Erethizon dorsatum,"Halstead G. White, R. Russell",1920,5,22,,,,,,unknown,,,,,,
25,1,https://arctos.database.museum/search.cfm?collection_object_id=28674548,10 mi W Sonora,30.566561,-100.811653,11448,Erethizon,Erethizon dorsatum,Terry C. Maxwell,1988,12,6,,,,,,unknown,,,,,,
29,1,https://arctos.database.museum/search.cfm?collection_object_id=2209736,11 miles SSE of Gunnison,38.398253,-106.847949,2800,Erethizon,Erethizon dorsatum,,1968,6,29,,,,,,unknown,,,,,,
38,1,https://arctos.database.museum/search.cfm?collection_object_id=10177743,"12-Mile Creek, 0.5 mi E California line",41.9950057,-119.9886652,129,Erethizon,Erethizon dorsatum,Dwight C. Smiley,1936,7,16,,,,,,unknown,,,,,,
45,1,https://arctos.database.museum/search.cfm?collection_object_id=28700075,"1.2 mi N jct Hwy 70 and 153, 2.8 mi E Hwy 70, Julia Minks' property",32.317819,-100.313922,2000,Erethizon,Erethizon dorsatum,Carson M. Brown,2007,5,16,,,,,,unknown,,,,,,
49,1,https://arctos.database.museum/search.cfm?collection_object_id=10176576,"12 mi S Yerington, W Walker River",38.81187,-119.16194,16307,Erethizon,Erethizon dorsatum,David H. Johnson,1934,7,5,,,,,,unknown,,,,,,
52,1,https://arctos.database.museum/search.cfm?collection_object_id=28655604,13 mi SW Ft Davis,30.46128,-104.046803,9000,Erethizon,Erethizon dorsatum,"J. C. Creel, P. Harkey",1968,4,14,,,,,,unknown,,,,,,
54,1,https://arctos.database.museum/search.cfm?collection_object_id=28666567,14 mi N San Angelo,31.641205,-100.440856,1800,Erethizon,Erethizon dorsatum,Robert C. Dowler,1988,1,1,,,,,,unknown,,,,,,
56,1,https://arctos.database.museum/search.cfm?collection_object_id=1996810,"15.75 mi E, 0.35 mi S. Mayhill, Rio Penasco, Hwy 82; 32D53'476""N 105D11'510""W",32.89544,-105.20714,5071,Erethizon,Erethizon dorsatum,Paul J. Polechla Jr.,2001,7,28,,,,,,unknown,,,,,,
57,1,https://arctos.database.museum/search.cfm?collection_object_id=2392668,"15.75 mi E and 0.35 mi S Mayhill, Rio Penasco alon",32.89544,-105.20714,5071,Erethizon,Erethizon dorsatum,Paul J. Polechla Jr.,2001,7,28,,,,,,unknown,,,,,,
62,1,https://arctos.database.museum/search.cfm?collection_object_id=28666560,"15 mi N, 5.8 mi W Mertzon, Arden Cave",,,,Erethizon,Erethizon dorsatum,Robert C. Dowler,1989,9,23,,,,,,unknown,,,,,,
68,1,https://arctos.database.museum/search.cfm?collection_object_id=10173730,"1.5 mi SW Guide Peak, near Loon Lake",39.02271,-120.33176,1165,Erethizon,Erethizon dorsatum,,1927,9,20,,,,,,unknown,,,,,,
69,1,https://arctos.database.museum/search.cfm?collection_object_id=1819461,"15 MI W IGNACE, HWY 11",49.48465,-91.96026,14920,Erethizon,Erethizon dorsatum,M. Fry,1953,10,7,,,,,,unknown,,,,,,
72,1,https://arctos.database.museum/search.cfm?collection_object_id=21362171,17 km. N of Whitehorse,60.827124,-135.388009,2000,Erethizon,Erethizon dorsatum,Thomas S. Jung,2005,5,31,,,,,,unknown,,,,,,
73,1,https://arctos.database.museum/search.cfm?collection_object_id=28670770,"1.7 mi S US 87, Ranch Rd 2034",31.656082,-100.745708,1000,Erethizon,Erethizon dorsatum,Terry C. Maxwell,1995,7,15,,,,,,unknown,,,,,,
75,1,https://arctos.database.museum/search.cfm?collection_object_id=28655991,"18 mi N Big Lake, Hughes Ranch",,,,Erethizon,Erethizon dorsatum,R. Trimble,1969,1,27,,,,,,unknown,,,,,,
76,1,https://arctos.database.museum/search.cfm?collection_object_id=28655893,"18 mi N Big Lake, Hughes Ranch, Hwy 33",,,,Erethizon,Erethizon dorsatum,R. Trimble,1969,1,17,,,,,,unknown,,,,,,
78,1,https://arctos.database.museum/search.cfm?collection_object_id=28655581,"18 mi W San Angelo, FM 853",31.437152,-100.783177,3000,Erethizon,Erethizon dorsatum,Wilmot A. Thornton,1968,2,27,,,,,,unknown,,,,,,
83,1,https://arctos.database.museum/search.cfm?collection_object_id=10176332,"1 mi E Jefferson, Toquima Range",38.71333,-116.96317,2757,Erethizon,Erethizon dorsatum,F. C. Gale,1933,6,29,,,,,,unknown,,,,,,
88,1,https://arctos.database.museum/search.cfm?collection_object_id=28666559,"1 mi N, 2 mi W Ozona",30.724512,-101.234053,2000,Erethizon,Erethizon dorsatum,Don W. Jones,1988,10,29,,,,,,unknown,,,,,,
91,1,https://arctos.database.museum/search.cfm?collection_object_id=31068091,1 mi N Fish Lake,45.4181,-93.1661,3190,Erethizon,Erethizon dorsatum,,1968,9,17,,,,,,unknown,,,,,,
